TYPE,DATA
LEFT,IAN_THINKING
MESSAGE,"Guess that did it... But...
Where am I now!?"
RIGHT,FRANK_IDLE
MESSAGE,"..."
SNIPPET,Audio.playBGM("Zazie by Kevin MacLeod")
RIGHT,FRANK_HAPPY
MESSAGE,"*GULP* *GULP* *GULP*
JAMIE!!!"
SNIPPET,Audio.playVoice("ian no3")
LEFT,IAN_ANGRY
MESSAGE,"..."
RIGHT,FRANK_IDLE
MESSAGE,"Welcome... To the outervoid..."
SNIPPET,Audio.playVoice("ian what")
LEFT,IAN_IDLE
MESSAGE,"The what!?"
SNIPPET,Audio.playBGM("Tree Of Life by nokibient")
RIGHT,FRANK_IDLE
MESSAGE,"I don't think you know what you've got yourself
into, Jamie... Leave... And never come back...
Somehow you'll find yoursel- hold on."
RIGHT,FRANK_HAPPY
MESSAGE,"*GULP* *GULP* *GULP*
Man, I got the GOOD stuff today!"
LEFT,IAN_ANGRY
MESSAGE,"What do you mean, I'll find myself?"
RIGHT,FRANK_HAPPY
MESSAGE,"*GULP* *GULP* *GULP*
AAaaaah, sorry what's that?"
LEFT,IAN_THINKING
MESSAGE,"You said that somehow I'd 'find myself'?
Find myself where, here?"
RIGHT,FRANK_IDLE
MESSAGE,"Oh... Yeah...
Well, you see..."
MESSAGE,"..."
MESSAGE,"I don't fucking remember."
RIGHT,FRANK_ANGRY
MESSAGE,"Oh my god, this shit hits hard!!!"
RIGHT,FRANK_ACCUSE
MESSAGE,"Don't fucking judge me, I don't see YOU drinking
five gallons a day."
RIGHT,FRANK_IDLE
SNIPPET,Audio.playBGMOnce("NULL")
MESSAGE,"Actually, I don't think I've ever seen you
drink anything... Ever..."
MESSAGE,"..."
RIGHT,FRANK_SMUG
MESSAGE,"Anyway! Bye, bitch!"
SNIPPET,Audio.playSFX("pop")
SNIPPET,Audio.playBGM("outervoid loop")
